date,total
2018 06 22 07 10,4
2018 06 22 07 20,9
2018 06 22 07 30,20
2018 06 22 07 40,27
2018 06 22 07 50,27
2018 06 22 08 00,36
2018 06 22 08 10,45
2018 06 22 08 20,57
2018 06 22 08 30,67
2018 06 22 08 40,71
2018 06 22 08 50,69
2018 06 22 09 00,53
2018 06 22 09 10,42
2018 06 22 09 20,41
2018 06 22 09 30,50
2018 06 22 09 40,40
2018 06 22 09 50,47
2018 06 22 10 00,60
2018 06 22 10 10,31
2018 06 22 10 20,32
2018 06 22 10 30,32
2018 06 22 10 40,29
2018 06 22 10 50,24
2018 06 22 11 00,17
2018 06 22 11 10,18
2018 06 22 11 20,31
2018 06 22 11 30,40
2018 06 22 11 40,60
2018 06 22 11 50,120
2018 06 22 12 00,171
2018 06 22 12 10,195
2018 06 22 12 20,207
2018 06 22 12 30,235
2018 06 22 12 40,237
2018 06 22 12 50,321
2018 06 22 13 00,365
2018 06 22 13 10,401
2018 06 22 13 20,383
2018 06 22 13 30,299
2018 06 22 13 40,249
2018 06 22 13 50,224
2018 06 22 14 00,143
2018 06 22 14 10,98
2018 06 22 14 20,89
2018 06 22 14 30,64
2018 06 22 14 40,58
2018 06 22 14 50,36
2018 06 22 15 00,47
2018 06 22 15 10,32
2018 06 22 15 20,30
2018 06 22 15 30,28
2018 06 22 15 40,39
2018 06 22 15 50,41
2018 06 22 16 00,47
2018 06 22 16 10,36
2018 06 22 16 20,30
2018 06 22 16 30,27
2018 06 22 16 40,36
2018 06 22 16 50,40
2018 06 22 17 00,38
2018 06 22 17 10,30
2018 06 22 17 20,68
2018 06 22 17 30,97
2018 06 22 17 40,109
2018 06 22 17 50,163
2018 06 22 18 00,181
2018 06 22 18 10,246
2018 06 22 18 20,230
2018 06 22 18 30,210
2018 06 22 18 40,205
2018 06 22 18 50,197
2018 06 22 19 00,175
2018 06 22 19 10,144
2018 06 22 19 20,112
2018 06 22 19 30,112
2018 06 22 19 40,120
2018 06 22 19 50,119
2018 06 22 20 00,100
2018 06 22 20 10,74
2018 06 22 20 20,49
2018 06 22 20 30,56
